,frequency
turn this game,1
turn this around into,1
turn this around,1
turn this,1
turn think if have,1
turn think if,1
turn we re,1
turn we re doing,1
turn went,1
turn went well,1
turned around,1
turned,1
turn you should have,1
turn you should,1
turn with the army,1
turn with the,1
turn with one of,1
turn with one,1
turn with more to,1
turn with more,1
turn with,1
turn will work best,1
turn will,1
turn when austria takes,1
turn when austria,1
turn when,1
turn what are your,1
turn what are,1
turn went well for,1
to three way draw,1
to three,1
to ask you,1
to gather more,1
to germany or,1
to germany in exchange,1
to germany in,1
to germany ill vouch,1
to germany ill,1
to germany england austria,1
to germany england,1
to germany,1
to gather more info,1
to gather anything from,1
to germany to,1
to gather anything,1
to gather,1
to gas to put,1
to gas to,1
to gas so can,1
to gas so,1
to gas,1
to gang up on,1
to gang up,1
to germany or are,1
to get,1
to fool supposedly he,1
to get build here,1
to get france,1
to get england,1
to get down quickly,1
to get down,1
to get center and,1
to get center,1
to get bul an,1
to get bul,1
to get builds,1
to get build,1
to get an,1
to get bounced in,1
to get better feel,1
to get better,1
to get back to,1
to get back bud,1
to get back,1
to get and more,1
to get and,1
to get an advantage,1
to gang,1
to galicia and trieste,1
to galicia and,1
to france as well,1
to fry,1
to fruition sooner,1
to fruition and right,1
to fruition and,1
to fruition,1
to france totally,1
to france that use,1
to france that,1
to france much,1
to france as,1
to galicia,1
to france about your,1
to france about,1
to france,1
to force wedge in,1
to force wedge,1
to force them right,1
to force them,1
to force sev now,1
to force sev,1
to fry and,1
to fry and can,1
to fry and that,1
to fully,1
to gal as well,1
to gal as,1
to gal,1
to gain your trust,1
to gain your,1
to gain some trust,1
to gain some,1
to gain from attacking,1
to gain from,1
to gain by working,1
to gain by,1
to gain,1
to future decorated in,1
to future decorated,1
to future,1
to fun game,1
to fun,1
to fully take the,1
to fully take,1
to get france out,1
to get germany,1
to get germany onboard,1
to get you,1
to give england,1
to give away too,1
to get your thoughts,1
to get your support,1
to get your,1
to get you turkish,1
to get you to,1
to get you into,1
to get you build,1
to get with sweden,1
to get through,1
to get with,1
to get verification from,1
to get verification,1
to get us to,1
to get us,1
to get too much,1
to get too,1
to get to tri,1
to get to our,1
to give england mao,1
to give fight,1
to give him,1
to give him limited,1
to go after germany,1
to go after france,1
to go after england,1
to go after,1
to go,1
to give you two,1
to give you some,1
to give you heads,1
to give you,1
to give up,1
to give the impression,1
to give the,1
to give out by,1
to give out,1
to give norway and,1
to give norway,1
to give me,1
to give it the,1
to give it,1
to get to,1
to get three builds,1
to get her,1
to get it on,1
to get one of,1
to get one,1
to get nerves about,1
to get nerves,1
to get munich or,1
to get munich,1
to get me to,1
to get me,1
to get it there,1
to get it,1
to get three,1
to get iri that,1
to get iri,1
to get into the,1
to get into position,1
to get into conflict,1
to get into,1
to get him to,1
to get him but,1
to get her to,1
to get past,1
to get past that,1
to get position,1
to get position on,1
to get them to,1
to get them out,1
to get them off,1
to get them,1
to get the best,1
to get the,1
to get stuck in,1
to get stuck,1
to get stopped at,1
to get stopped,1
to get something,1
to get somebody help,1
to get somebody,1
to get some of,1
to get some,1
to get solo,1
to get rid of,1
to get rid if,1
to get rid,1
to force,1
to fool supposedly,1
to do this season,1
to eliminate him,1
to ending,1
to end up out,1
to end up,1
to end,1
to encourage you to,1
to encourage you,1
to encourage italy to,1
to encourage italy,1
to encourage,1
to eliminate,1
to england,1
to either way,1
to either rush losing,1
to either rush,1
to either of us,1
to either of,1
to either move by,1
to either move,1
to either go to,1
to either go,1
to ending anyway,1
to england about,1
to fool,1
to england think were,1
to ensure you own,1
to ensure you,1
to ensure the move,1
to ensure the,1
to ensure,1
to english channel and,1
to english channel,1
to english,1
to england yet,1
to england think,1
to england about it,1
to england or germany,1
to england by simply,1
to england by,1
to england and let,1
to england and he,1
to england and germany,1
to england and changed,1
to england and,1
to england about that,1
to either,1
to efficiently attack england,1
to efficiently attack,1
to do with each,1
to do yet,1
to do with your,1
to do with you,1
to do with ven,1
to do with tyrolia,1
to do with the,1
to do with sweden,1
to do with my,1
to do with greece,1
to do with,1
to efficiently,1
to do will,1
to do while still,1
to do while,1
to do whatever,1
to do what believe,1
to do what,1
to do vis vis,1
to do vis,1
to do ven tri,1
to do yet as,1
to drive,1
to drive wedge,1
to drive wedge between,1
to edi which is,1
to edi which,1
to edi,1
to easily walk into,1
to easily walk,1
to easily,1
to each other this,1
to each other more,1
to each other,1
to each,1
to dry so where,1
to dry so,1
to dry,1
to drop his pants,1
to drop his,1
to drop an army,1
to drop an,1
to drop,1
to drive wedge into,1
to enter,1
to enter the,1
to enter the channel,1
to figure out what,1
to finland this turn,1
to finland this,1
to finland,1
to finish up the,1
to finish up,1
to finish moving,1
to finish,1
to find out more,1
to find out,1
to figure out if,1
to fight him to,1
to figure out how,1
to figure out gal,1
to figure out,1
to figure it out,1
to figure it,1
to figure,1
to fight you or,1
to fight you,1
to fight with,1
to flaunt,1
to flaunt my,1
to flip,1
to flip austria,1
to follow up,1
to follow this,1
to follow shortly,1
to follow quickly,1
to follow,1
to focus south what,1
to focus south,1
to focus our combine,1
to focus our,1
to focus on my,1
to focus on,1
to focus more on,1
to focus more,1
to focus,1
to flirt with female,1
to flirt with,1
to flirt,1
to flip back,1
to flip austria against,1
to fight so,1
to fight him and,1
to everyone,1
to extract their plans,1
to face on sunday,1
to face on,1
to face germany and,1
to face germany,1
to face diplomacy events,1
to face diplomacy,1
to face at all,1
to face at,1
to face,1
to extract their,1
to fight him,1
to extract,1
to explain or anything,1
to explain or,1
to explain,1
to expect me not,1
to expect me,1
to expect,1
to expand,1
to everyone btw,1
to fall,1
to fall 01,1
to fall back,1
to fall back to,1
to fight for everything,1
to fight for,1
to fight each other,1
to fight each,1
to fight austria if,1
to fight austria,1
to fight,1
to ferret out of,1
to ferret out,1
to ferret,1
to fend you off,1
to fend you,1
to fend off russia,1
to fend off,1
to fend,1
to feel safer,1
to feel,1
to fall for the,1
to fall for,1
to go after turkey,1
to go against,1
to go against russia,1
to hold it or,1
to hold sweden,1
to hold russia back,1
to hold russia,1
to hold rum,1
to hold out for,1
to hold out,1
to hold onto rumania,1
to hold onto,1
to hold munich,1
to hold it for,1
to hold them,1
to hold it,1
to hold in portugal,1
to hold in,1
to hold,1
to hit you while,1
to hit you,1
to hit solo,1
to hit sev,1
to hit serbia again,1
to hold sweden hostage,1
to hold them in,1
to go all,1
to hop and back,1
to how you,1
to how free ll,1
to how free,1
to how far could,1
to how far,1
to how,1
to hopefully contest russia,1
to hopefully contest,1
to hopefully,1
to hop and,1
to hold trieste,1
to hop,1
to honor it,1
to honor,1
to holland or denmark,1
to holland or can,1
to holland or,1
to holland,1
to hold you off,1
to hold you,1
to hit serbia,1
to hit mar,1
to hit germany hard,1
to help press down,1
to help us,1
to help turkey too,1
to help turkey into,1
to help turkey,1
to help them out,1
to help them fight,1
to help them,1
to help support you,1
to help support,1
to help press,1
to hit germany from,1
to help out with,1
to help out this,1
to help out against,1
to help out,1
to help me take,1
to help me,1
to help keep russia,1
to help keep,1
to help germany at,1
to help us against,1
to help us out,1
to help with,1
to help with that,1
to hit germany,1
to hit certain territory,1
to hit certain,1
to hit,1
to his own advantage,1
to his own,1
to his,1
to him when thought,1
to him today,1
to him now,1
to him about my,1
to him about,1
to het in norway,1
to het in,1
to her which might,1
to her which,1
to her,1
to help you out,1
to help you,1
to how you and,1
to imagine,1
to imagine people,1
to jointly,1
to just lose the,1
to just lose,1
to just hand over,1
to just hand,1
to just dive into,1
to just dive,1
to just,1
to jointly kick you,1
to jointly kick,1
to joint attack on,1
to italy from,1
to joint attack,1
to joint,1
to join in maybe,1
to join in,1
to join,1
to italy or turkey,1
to italy or,1
to italy idea,1
to italy from both,1
to just see,1
to just see how,1
to just shed,1
to just shed supply,1
to keep italy and,1
to keep irish on,1
to keep irish,1
to keep in mind,1
to keep in,1
to keep helping you,1
to keep helping,1
to keep germany from,1
to keep germany,1
to keep france out,1
to keep france down,1
to keep france,1
to keep communication open,1
to keep communication,1
to keep an army,1
to keep an,1
to keep,1
to just survive three,1
to just survive,1
to italy from attacking,1
to italy but can,1
to imagine people having,1
to indicate,1
to invade,1
to intervene with turkey,1
to intervene with,1
to intervene,1
to insist on some,1
to insist on,1
to insist,1
to indicate our collaboration,1
to indicate our,1
to increase distrust of,1
to italy but,1
to increase distrust,1
to increase,1
to in order to,1
to in order,1
to in an alliance,1
to in an,1
to in,1
to improve any,1
to improve,1
to ion,1
to ion with,1
to ion with queen,1
to iri,1
to italy and see,1
to italy and heard,1
to italy and,1
to italy about this,1
to italy about,1
to italy,1
to it that neither,1
to it that,1
to it than am,1
to it than,1
to it on the,1
to it on,1
to it generally,1
to it,1
to irish norwegian to,1
to irish norwegian,1
to irish,1
to iri instead of,1
to iri instead,1
to help germany,1
to help austria,1
to help against turkey,1
to grab sweden,1
to greece and,1
to greece,1
to great game and,1
to great game,1
to great,1
to gre would you,1
to gre would,1
to gre,1
to grab sweden because,1
to grab,1
to go under this,1
to good start,1
to good proposal,1
to good alliance,1
to good,1
to going against austria,1
to going against,1
to going,1
to god had updated,1
to god had,1
to greece and could,1
to greece right,1
to grow,1
to grow but,1
to happen,1
to handle turkey,1
to handle the situation,1
to handle the,1
to handle his fleets,1
to handle his,1
to handle france,1
to handle england,1
to handle austria,1
to handle,1
to guess right again,1
to guess right,1
to guarantee mine could,1
to guarantee mine,1
to guarantee,1
to gte that army,1
to gte that,1
to gte,1
to grow but you,1
to god,1
to go under,1
to happen at some,1
to go for rum,1
to go into stp,1
to go into brest,1
to go into,1
to go from,1
to go forward with,1
to go forward,1
to go for that,1
to go for stp,1
to go for russia,1
to go for it,1
to go to you,1
to go for england,1
to go for,1
to go deal with,1
to go deal,1
to go back in,1
to go back,1
to go away,1
to go all the,1
to go all out,1
to go it,1
to go it alone,1
to go next,1
to go north,1
to go to war,1
to go to tyrolia,1
to go to ruhr,1
to go to mao,1
to go to bed,1
to go to albania,1
to go to,1
to go though you,1
to go though,1
to go the way,1
to go the,1
to go tattle to,1
to go play another,1
to go play,1
to go over before,1
to go over,1
to go now but,1
to go now,1
to go north in,1
to happen at,1
to happen but,1
to help against,1
to head first,1
to hear believe,1
to hear back from,1
to hear back,1
to hear,1
to head towards france,1
to head towards,1
to head this turn,1
to head this,1
to head next,1
to head,1
to have their trust,1
to have your army,1
to have your,1
to have you there,1
to have you,1
to have to talk,1
to have to dedicate,1
to have to choose,1
to have to,1
to have this resolved,1
to hear believe you,1
to hear but,1
to hear but need,1
to hear from,1
to help,1
to helgoland without losing,1
to helgoland without,1
to helgoland,1
to hedgehog the word,1
to hedgehog the,1
to hedgehog here focus,1
to hedgehog here,1
to hedgehog,1
to hear your thoughts,1
to hear your response,1
to hear your,1
to hear you and,1
to hear you,1
to hear that,1
to hear italy talking,1
to hear italy,1
to hear from you,1
to hear from both,1
to have this,1
to have their,1
to happen but thats,1
to have alliance was,1
to have chance,1
to have build and,1
to have build,1
to have belgium to,1
to have belgium,1
to have been ignoring,1
to have been,1
to have austria thinking,1
to have austria,1
to have alliance,1
to have the best,1
to have,1
to hash out long,1
to hash out,1
to hash,1
to has heard from,1
to has heard,1
to has,1
to happen to munich,1
to happen to,1
to have chance at,1
to have fleets,1
to have fleets in,1
to have good,1
to have the,1
to have null,1
to have nice game,1
to have nice,1
to have my queen,1
to have my,1
to have munich and,1
to have munich,1
to have much time,1
to have much,1
to have its support,1
to have its,1
to have interpreted this,1
to have interpreted,1
to have info as,1
to have info,1
to have him courtmartialed,1
to have him,1
to have good game,1
to do ven,1
to do then,1
to keep me busy,1
to belgium north,1
to betray them,1
to betray me,1
to betray,1
to berlin,1
to belgium supported by,1
to belgium supported,1
to belgium now from,1
to belgium now,1
to belgium north sea,1
to belgium in the,1
to betray them currently,1
to belgium in,1
to belgium and then,1
to belgium,1
to bel with nth,1
to bel with,1
to bel so that,1
to bel so,1
to bel,1
to being stabbed by,1
to betray them competently,1
to betray trust,1
to be this freaked,1
to block my escape,1
to both of,1
to boring game where,1
to boring,1
to bolster my army,1
to bolster my,1
to blow past the,1
to blow,1
to block the retreat,1
to block the,1
to block my,1
to betray trust you,1
to block,1
to blame using discord,1
to blame using,1
to blame for iowa,1
to blame for,1
to blame,1
to black sea or,1
to black sea,1
to black,1
to being stabbed,1
to being part of,1
to being part,1
to be up,1
to be working,1
to be well defended,1
to be well,1
to be very strong,1
to be very anti,1
to be very,1
to be used with,1
to be used,1
to be up early,1
to be two way,1
to being,1
to be two,1
to be tunis where,1
to be tunis,1
to be trying to,1
to be trying,1
to be trustworthy ally,1
to be trustworthy,1
to be true,1
to be too public,1
to be working together,1
to be your,1
to be your ally,1
to be your friend,1
to bed soon,1
to bed hopefully this,1
to bed hopefully,1
to bed but as,1
to bed but,1
to bed after we,1
to bed after,1
to become very powerful,1
to become very,1
to become threat first,1
to become threat,1
to become,1
to because of that,1
to because of,1
to because,1
to bear on the,1
to bear on,1
to bear,1
to be your pal,1
to both of us,1
to bounce,1
to bounce black sea,1
to build in,1
to build there,1
to build the kiel,1
to build the fleet,1
to build the,1
to build northern fleet,1
to build northern,1
to build lot of,1
to build lot,1
to build in london,1
to build fleets,1
to bud,1
to build fleet in,1
to build fleet,1
to build,1
to budapest since theres,1
to budapest since,1
to budapest if he,1
to budapest if,1
to budapest,1
to bud and make,1
to build trust with,1
to build units,1
to build units in,1
to bul,1
to call it night,1
to call it,1
to call,1
to but back,1
to but,1
to business any chance,1
to business any,1
to business,1
to bury the hatchet,1
to bury the,1
to bury,1
to burgundy,1
to burg and then,1
to burg and,1
to burg,1
to bur,1
to bulgaria,1
to bul unlikely and,1
to bul unlikely,1
to bud and,1
to broach the,1
to bounce bur,1
to bounce them there,1
to break into,1
to break britain and,1
to break britain,1
to break any possible,1
to break any,1
to break,1
to bre and bel,1
to bre and,1
to bre,1
to bounce them,1
to broach,1
to bounce russia in,1
to bounce russia,1
to bounce north sea,1
to bounce north,1
to bounce me in,1
to bounce me,1
to bounce in tyr,1
to bounce in burgundy,1
to bounce in,1
to break into france,1
to break my,1
to break my nap,1
to break off,1
to bring units over,1
to bring units,1
to bring to bear,1
to bring to an,1
to bring to,1
to bring the fantasy,1
to bring the,1
to bring,1
to brest to keep,1
to brest to,1
to brest last time,1
to brest last,1
to brest,1
to break you up,1
to break you,1
to break through into,1
to break through,1
to break smy,1
to break off im,1
to be too,1
to be this,1
to do the same,1
to back fill you,1
to band,1
to baltic and make,1
to baltic and,1
to baltic,1
to bal,1
to backstab people like,1
to back off,1
to back it up,1
to back it,1
to back fill,1
to band together and,1
to back,1
to avoid walking through,1
to avoid unnecessary nonsense,1
to avoid slowing each,1
to avoid slowing,1
to avoid,1
to austria to indicate,1
to austria and tell,1
to austria and principally,1
to band together,1
to band together or,1
to be there,1
to be as strong,1
to be callous but,1
to be callous,1
to be bother but,1
to be blunt don,1
to be blunt,1
to be big buddies,1
to be big,1
to be at zero,1
to be at,1
to be as honest,1
to be,1
to be as active,1
to be as,1
to be anywhere else,1
to be anywhere,1
to be and can,1
to be and,1
to be an austria,1
to be an,1
to be able,1
to austria and,1
to austria about going,1
to austria about,1
to assume he going,1
to attack austria but,1
to attack austria and,1
to attack austria,1
to attack and,1
to attack,1
to at least lie,1
to at least dmz,1
to at least,1
to at,1
to assume he,1
to austria,1
to assume,1
to assist me with,1
to assist me,1
to assist italy into,1
to assist italy,1
to assist in attacking,1
to assist in,1
to assist,1
to ask you to,1
to attack bud,1
to attack bud with,1
to attack each,1
to attack each other,1
to attack you and,1
to attack you,1
to attack them with,1
to attack them so,1
to attack them,1
to attack ser right,1
to attack ser,1
to attack or will,1
to attack or,1
to attack one of,1
to attack one,1
to attack me,1
to attack italy who,1
to attack italy,1
to attack him and,1
to attack gas,1
to attack france who,1
to attack france,1
to attack england but,1
to be candid,1
to be candid here,1
to be careful,1
to be party,1
to be ready,1
to be quite weird,1
to be quite,1
to be pretty early,1
to be pretty,1
to be prepared to,1
to be prepared,1
to be peaceful like,1
to be peaceful,1
to be open to,1
to be mostly,1
to be open,1
to be online,1
to be on the,1
to be on board,1
to be on,1
to be neutral and,1
to be neutral,1
to be moving into,1
to be moving,1
to be ready for,1
to be really,1
to be really specific,1
to be rude but,1
to be the mover,1
to be the last,1
to be the diplomacy,1
to be the death,1
to be the case,1
to be the,1
to be talking about,1
to be talking,1
to be sure understand,1
to be sure,1
to be supporting him,1
to be supporting,1
to be super nosy,1
to be super,1
to be some fun,1
to be some,1
to be screaming,1
to be ruthless opportunist,1
to be ruthless,1
to be mostly defused,1
to be more useful,1
to be careful being,1
to be convoyed,1
to be free,1
to be focused on,1
to be doing his,1
to be doing all,1
to be disbanded here,1
to be disbanded,1
to be difficult,1
to be developing,1
to be convoyed through,1
to be coming to,1
to be more trust,1
to be coming,1
to be clear that,1
to be clear see,1
to be clear england,1
to be clear dont,1
to be clear before,1
to be clear,1
to be cautious here,1
to be cautious,1
to be friends,1
to be friends with,1
to be friends you,1
to be having,1
to be more involved,1
to be more,1
to be long unpleasant,1
to be long,1
to be locked down,1
to be locked,1
to be letting germany,1
to be letting,1
to be involved in,1
to be involved,1
to be in the,1
to be in bit,1
to be in,1
to be honest totally,1
to be honest just,1
to be honest im,1
to be honest,1
to be hedgehog,1
to be having some,1
to capture armenia,1
to capture denmark,1
to capture denmark next,1
to dig up your,1
to disband,1
to direction any direction,1
to direction any,1
to direction,1
to diplomacy for me,1
to diplomacy for,1
to diplomacy,1
to dip name,1
to dip,1
to dig up,1
to disband arm bla,1
to dig,1
to deprive the french,1
to deprive the,1
to deprive,1
to denmark to set,1
to denmark to,1
to denmark and,1
to denmark,1
to den with nwg,1
to disband arm,1
to disband his,1
to cause,1
to discuss that build,1
to dislodge me from,1
to dislodge me,1
to dislodge,1
to disengage,1
to discuss things in,1
to discuss things,1
to discuss the three,1
to discuss the reconsideration,1
to discuss the,1
to discuss that,1
to disband his northern,1
to discuss,1
to discord,1
to disclose regardless of,1
to disclose regardless,1
to disclose,1
to disband unit next,1
to disband unit,1
to disband the unit,1
to disband the,1
to den with,1
to den,1
to demilitarize tyr for,1
to deal austria,1
to decide what,1
to decide,1
to deal with turkey,1
to deal with seriously,1
to deal with monster,1
to deal with it,1
to deal with austria,1
to deal with,1
to deal austria blow,1
to deal,1
to demilitarize tyr,1
to day business get,1
to day business,1
to day,1
to cut tyr support,1
to cut tyr,1
to cut support so,1
to cut support,1
to cut potential mun,1
to cut potential,1
to decide what to,1
to decide whether,1
to decide whether to,1
to decision,1
to demilitarize,1
to defend the south,1
to defend the,1
to defend something,1
to defend it don,1
to defend it,1
to defend himself and,1
to defend himself,1
to defend greece and,1
to defend greece,1
to defend,1
to dedicate units to,1
to dedicate units,1
to dedicate out of,1
to dedicate out,1
to dedicate most of,1
to dedicate most,1
to dedicate,1
to decision point,1
to dislodge north,1
to dislodge north sea,1
to dislodge unit,1
to do it and,1
to do so,1
to do right now,1
to do right,1
to do lepanto yet,1
to do lepanto,1
to do key lepanto,1
to do key,1
to do it yeah,1
to do it im,1
to do it,1
to do for you,1
to do into bel,1
to do into,1
to do instead,1
to do in this,1
to do in italy,1
to do in,1
to do here,1
to do hedgehog,1
to do full out,1
to do so if,1
to do some,1
to do some damage,1
to do something,1
to do the norway,1
to do the,1
to do that which,1
to do that to,1
to do that think,1
to do that the,1
to do that supported,1
to do that but,1
to do that,1
to do supported move,1
to do supported,1
to do spa wes,1
to do spa,1
to do something with,1
to do something unusual,1
to do something to,1
to do something that,1
to do something squirrely,1
to do something about,1
to do full,1
to do for this,1
to dislodge unit in,1
to dmz,1
to do about tri,1
to do about ruhr,1
to do about nth,1
to do about,1
to do,1
to dmz in the,1
to dmz in,1
to dmz ec though,1
to dmz ec,1
to dive into austria,1
to do for,1
to dive into,1
to dive for either,1
to dive for,1
to dive,1
to distrust each other,1
to distrust each,1
to distrust,1
to distract france,1
to distract,1
to do against,1
to do against france,1
to do an,1
to do an in,1
to do fairly standard,1
to do fairly,1
to do do you,1
to do do,1
to do differently,1
to do but knowing,1
to do but,1
to do bounce where,1
to do bounce,1
to do blue,1
to do at this,1
to do at,1
to do anything or,1
to do anything,1
to do any trade,1
to do any discussing,1
to do any,1
to do and go,1
to do and,1
to cut his legs,1
to cut his,1
to cut berlin support,1
to close the,1
to collaborate on,1
to collaborate,1
to cold shoulder france,1
to cold shoulder,1
to cold,1
to cly is consistent,1
to cly is,1
to cly,1
to close the deal,1
to close in on,1
to claim your,1
to close in,1
to close,1
to click the box,1
to click the,1
to click im,1
to click,1
to clarify you want,1
to clarify you,1
to clarify,1
to collaborate on invading,1
to come,1
to come to,1
to come to an,1
to configure,1
to conclude that that,1
to conclude that,1
to conclude,1
to complete the defeat,1
to complete the,1
to complete,1
to communicate with other,1
to communicate with,1
to communicate,1
to commit to turkey,1
to commit to ruhr,1
to commit to going,1
to commit to direction,1
to commit,1
to come west and,1
to come west,1
to come up with,1
to come up,1
to claim your fair,1
to claim inexperience and,1
to configure the game,1
to change our,1
to change your moves,1
to change your,1
to change them up,1
to change them,1
to change the board,1
to change the,1
to change that for,1
to change that,1
to change our plan,1
to change my orders,1
to claim inexperience,1
to change my,1
to change just want,1
to change just,1
to change if hear,1
to change if,1
to change anything,1
to change,1
to cause little chaos,1
to cause little,1
to channel,1
to channel as,1
to channel as far,1
to chat,1
to claim,1
to choose who to,1
to choose who,1
to choose france as,1
to choose france,1
to choose between belgium,1
to choose between,1
to choose,1
to check up,1
to check though what,1
to check though,1
to check in assure,1
to check in,1
to check,1
to chat unfortunately so,1
to chat unfortunately,1
to chat tomorrow,1
to chat real quick,1
to chat real,1
to configure the,1
to confirm,1
to cut berlin,1
to coordinate with austria,1
to counter,1
to count the chicks,1
to count the,1
to count,1
to coordinating to control,1
to coordinating to,1
to coordinating,1
to coordinate with turkey,1
to coordinate with germany,1
to coordinate with,1
to convoy venice,1
to coordinate my move,1
to coordinate an,1
to cooperate and,1
to cooperate against england,1
to cooperate against an,1
to cooperate against,1
to cooperate,1
to convoy your armies,1
to convoy your,1
to counter russia,1
to counter russia thus,1
to cover,1
to cover after,1
to cut,1
to crush turkey with,1
to crush turkey,1
to crush,1
to crack this dude,1
to crack this,1
to crack,1
to cover your western,1
to cover your,1
to cover warsaw bur,1
to cover warsaw,1
to cover spain portugul,1
to cover spain,1
to cover rome,1
to cover munich and,1
to cover galicia anyway,1
to cover edinburgh,1
to cover bulgaria so,1
to cover bulgaria,1
to convoy venice to,1
to convoy to york,1
to confirm for,1
to constantinople and against,1
to continue our amicable,1
to continue our,1
to continue defensive play,1
to continue defensive,1
to continue,1
to contest belgium,1
to contest,1
to constantinople but apparently,1
to constantinople but,1
to constantinople and,1
to convoy to italy,1
to constantinople,1
to consider whether greece,1
to consider whether,1
to consider,1
to confirm this,1
to confirm the three,1
to confirm the,1
to confirm so can,1
to confirm for you,1
to continue working,1
to continue working together,1
to continue your,1
to continue your attack,1
to convoy to denmark,1
to convoy to,1
to convoy out so,1
to convoy out,1
to convoy one of,1
to convoy one,1
to convoy my army,1
to convoy my,1
to convoy from kiel,1
to convoy from,1
to convoy,1
to convince them to,1
to convince them,1
to convince austria in,1
to convince austria,1
to convince,1
to control the growth,1
to control the,1
to control,1
to keep me,1
to keep me out,1
to threaten me or,1
to single one,1
to skycon out,1
to skycon,1
to ska but my,1
to ska but,1
to ska,1
to sit down and,1
to sit down,1
to sit,1
to single one of,1
to single,1
to sleep,1
to simultaneously fight against,1
to simultaneously fight,1
to simultaneously,1
to simplify things we,1
to simplify things,1
to simplify,1
to silesia just thought,1
to silesia just,1
to silesia from warsaw,1
to skycon out in,1
to smy,1
to set up strong,1
to so that,1
to solo from here,1
to solo from,1
to solo because it,1
to solo because,1
to solo,1
to sole country is,1
to sole country,1
to sole,1
to so that support,1
to so if italy,1
to smyrna,1
to so if,1
to so,1
to snipe vienna with,1
to snipe vienna,1
to snipe,1
to sneak into sweden,1
to sneak into swe,1
to sneak into,1
to sneak,1
to silesia from,1
to silesia and prussia,1
to silesia and,1
to share or,1
to shift south,1
to shift,1
to share why you,1
to share why,1
to share those builds,1
to share those,1
to share that with,1
to share that,1
to share or needed,1
to share,1
to silesia,1
to shake out before,1
to shake out,1
to shake,1
to sev supported by,1
to sev supported,1
to sev russia has,1
to sev russia,1
to sev,1
to settle for,1
to shift south east,1
to shore,1
to shore up,1
to shore up their,1
to sil,1
to side with me,1
to side with,1
to side,1
to shrink myself for,1
to shrink myself,1
to shrink,1
to shower before negotiating,1
to shower before,1
to shower,1
to show that like,1
to show that don,1
to show that,1
to show conflict to,1
to show conflict,1
to show,1
to shove all my,1
to shove all,1
to shove,1
to some,1
to some temporary,1
to some temporary arrangement,1
to start,1
to starve,1
to start plucking off,1
to start plucking,1
to start out on,1
to start out,1
to start moving after,1
to start moving,1
to start capitalizing on,1
to start capitalizing,1
to stand italy out,1
to stab me,1
to stand italy,1
to stand,1
to stall or tie,1
to stall or,1
to stall,1
to stab them and,1
to stab them,1
to stab my long,1
to stab my,1
to starve him,1
to starve him of,1
to stay,1
to stay allied,1
to steal it from,1
to steal it,1
to steal,1
to stay up and,1
to stay put except,1
to stay put,1
to stay out of,1
to stay out,1
to stay neutral ish,1
to stay neutral,1
to stay just between,1
to stay just,1
to stay even we,1
to stay even,1
to stay competitive this,1
to stay competitive,1
to stay at least,1
to stay at,1
to stay allied with,1
to stab me for,1
to stab germany who,1
to something,1
to sow doubt between,1
to split germany very,1
to split germany,1
to split,1
to spice things up,1
to spice things,1
to spice,1
to spain guess and,1
to spain guess,1
to spain,1
to sow doubt,1
to stab germany,1
to sow,1
to sound like broken,1
to sound like,1
to sound,1
to sort something with,1
to sort something,1
to sort,1
to something like the,1
to something like,1
to split it,1
to split it up,1
to split the,1
to split the austria,1
to stab austria and,1
to stab austria,1
to stab,1
to st petersburg,1
to st,1
to spur discussion,1
to spur,1
to spread lies to,1
to spread lies genuinely,1
to spread lies,1
to spread,1
to split up russia,1
to split up bel,1
to split up austria,1
to split up,1
to split them down,1
to split them,1
to split the territory,1
to split the balkans,1
to settle,1
to set up for,1
to resolving the,1
to salvage,1
to say but think,1
to say but,1
to say about you,1
to say about,1
to say,1
to save nth with,1
to save nth,1
to save,1
to salvage this,1
to russia was chatting,1
to say id,1
to russia was,1
to russia to me,1
to russia to,1
to russia because they,1
to russia because,1
to russia and you,1
to russia and will,1
to russia and we,1
to russia and see,1
to say hello,1
to say id prefer,1
to set up convoy,1
to saying fuck it,1
to scroll back rn,1
to scroll back,1
to scroll,1
to screw you,1
to screw the guys,1
to screw the,1
to screw it up,1
to screw it,1
to scold,1
to saying,1
to say is,1
to say who all,1
to say who,1
to say whatever to,1
to say whatever,1
to say to each,1
to say to,1
to say then,1
to say on,1
to say is it,1
to russia and,1
to russia about swapping,1
to russia about,1
to rock and,1
to ruh to,1
to ruh,1
to rotate,1
to rome second option,1
to rome second,1
to rome all of,1
to rome all,1
to rome,1
to rock and roll,1
to rock,1
to russia,1
to rn in part,1
to rn in,1
to rn,1
to risk italy in,1
to risk italy,1
to risk,1
to retreat to ukraine,1
to retreat to,1
to respond,1
to ruh to support,1
to ruhr,1
to ruhr and,1
to ruhr and berlin,1
to run out at,1
to run out,1
to run away and,1
to run away,1
to run,1
to rumania if it,1
to rumania and wed,1
to rumania and,1
to rumania,1
to rum then we,1
to rum then,1
to rum,1
to ruin the entire,1
to ruin the,1
to ruin,1
to ruhr which doesn,1
to ruhr which,1
to ruhr bur mun,1
to ruhr bur,1
to secure,1
to secure his,1
to secure his cooperation,1
to see you solo,1
to seek an alliance,1
to seek an,1
to seek,1
to seeing you off,1
to seeing you,1
to seeing it,1
to seeing,1
to see you working,1
to see you there,1
to see you re,1
to see to prevent,1
to see you in,1
to see you either,1
to see you,1
to see who tries,1
to see who,1
to see where the,1
